transaction_id,user_id,date,amount,category
T00247,U0313,2023-05-29,161.66,Transport
T00248,U0248,2023-08-15,7.7,Transport
T00249,U0498,2023-08-02,35.57,Shopping
T00250,U0030,2023-12-26,88.51,Transport
T00251,U0022,2023-05-31,21.52,Food
T00252,U0425,2023-07-11,27.65,Shopping
T00253,U0393,2023-02-09,6.86,Transport
T00254,U0159,2023-08-30,6.56,Shopping
T00255,U0362,2023-05-18,48.32,Shopping
T00256,U0436,2023-12-11,56.28,Topup
T00257,U0157,2023-06-29,75.1,Bills
T00258,U0038,2023-07-19,40.67,Shopping
T00259,U0414,2023-07-22,51.89,Shopping
T00260,U0081,2023-03-02,0.68,Topup
T00261,U0355,2023-07-11,8.85,Transport
T00262,U0257,2023-01-05,209.7,Shopping
T00263,U0205,2023-08-25,3.95,Topup
T00264,U0076,2023-06-30,56.78,Food
T00265,U0476,2023-11-07,9.68,Topup
T00266,U0011,2023-02-06,63.07,Bills
T00267,U0294,2023-02-25,61.21,Bills
T00268,U0449,2023-08-25,13.34,Transport
T00269,U0223,2023-12-24,15.71,Transport
T00270,U0012,2023-12-15,53.18,Bills
T00271,U0045,2023-07-16,24.72,Bills
T00272,U0154,2023-03-14,10.82,Shopping
T00273,U0112,2023-02-28,65.78,Bills
T00274,U0232,2023-08-28,8.37,Transport
T00275,U0016,2023-01-02,96.77,Bills
T00276,U0359,2023-12-26,36.15,Transport
T00277,U0222,2023-07-07,5.59,Food
T00278,U0353,2023-11-03,59.22,Bills
T00279,U0187,2023-01-30,36.61,Transport
T00280,U0447,2023-09-24,17.7,Topup
T00281,U0343,2023-04-18,27.46,Shopping
T00282,U0364,2023-11-28,17.72,Transport
T00283,U0162,2023-03-31,15.26,Bills
T00284,U0495,2023-07-24,8.93,Bills
T00285,U0325,2023-08-08,22.53,Food
T00286,U0466,2023-04-04,14.45,Topup
T00287,U0413,2023-04-13,57.51,Transport
T00288,U0454,2023-08-11,57.58,Topup
T00289,U0073,2023-07-05,34.84,Food
T00290,U0232,2023-07-03,75.24,Shopping
T00291,U0223,2023-06-11,92.05,Topup
T00292,U0481,2023-09-04,43.35,Food
T00293,U0318,2023-01-31,48.24,Transport
T00294,U0411,2023-02-21,16.63,Shopping
T00295,U0059,2023-12-11,112.63,Bills
T00296,U0334,2023-03-17,1.23,Food
T00297,U0221,2023-10-05,21.43,Bills
T00298,U0036,2023-02-09,63.97,Shopping
T00299,U0476,2023-04-11,4.17,Food
T00300,U0277,2023-04-21,10.12,Food
T00301,U0195,2023-11-17,44.49,Shopping
T00302,U0403,2023-09-06,41.05,Transport
T00303,U0351,2023-07-10,67.15,Food
T00304,U0483,2023-07-01,83.73,Shopping
T00305,U0241,2023-12-01,6.88,Topup
T00306,U0323,2023-07-28,0.93,Bills
T00307,U0218,2023-01-22,58.5,Food
T00308,U0191,2023-06-15,17.93,Topup
T00309,U0016,2023-04-09,49.17,Food
T00310,U0011,2023-07-27,8.16,Transport
T00311,U0405,2023-01-08,31.65,Shopping
T00312,U0400,2023-07-09,35.1,Food
T00313,U0393,2023-06-24,43.98,Shopping
T00314,U0373,2023-09-30,35.99,Food
T00315,U0192,2023-01-17,34.23,Transport
T00316,U0021,2023-03-31,20.23,Transport
T00317,U0473,2023-05-21,3.69,Topup
T00318,U0119,2023-05-25,4.69,Transport
T00319,U0209,2023-06-15,28.44,Shopping
T00320,U0305,2023-12-03,21.99,Transport
T00321,U0269,2023-03-19,36.3,Food
T00322,U0191,2023-09-19,18.18,Transport
T00323,U0174,2023-06-12,58.22,Shopping
T00324,U0284,2023-01-14,99.74,Food
T00325,U0203,2023-08-27,17.75,Topup
T00326,U0163,2023-03-13,10.72,Topup
T00327,U0250,2023-05-23,6.18,Topup
T00328,U0226,2023-11-06,47.89,Food
T00329,U0435,2023-10-10,29.34,Topup
T00330,U0380,2023-09-26,10.41,Transport
T00331,U0459,2023-08-29,52.94,Food
T00332,U0006,2023-09-02,8.04,Food
T00333,U0028,2023-06-12,40.41,Food
T00334,U0394,2023-03-01,37.45,Bills
T00335,U0032,2023-01-06,66.26,Shopping
T00336,U0133,2023-07-16,2.83,Bills
T00337,U0366,2023-02-27,109.41,Bills
T00338,U0078,2023-11-01,60.7,Bills
T00339,U0415,2023-08-05,12.18,Shopping
T00340,U0434,2023-01-26,10.13,Bills
T00341,U0458,2023-10-30,28.25,Topup
T00342,U0057,2023-01-05,85.07,Food
T00343,U0470,2023-01-20,92.56,Food
T00344,U0025,2023-07-17,36.75,Transport
T00345,U0481,2023-02-28,98.6,Topup
T00346,U0429,2023-08-30,0.27,Shopping
T00347,U0225,2023-05-26,1.79,Food
T00348,U0284,2023-09-30,121.42,Bills
T00349,U0003,2023-09-06,74.66,Transport
T00350,U0464,2023-01-14,29.96,Transport
T00351,U0098,2023-01-13,70.04,Food
T00352,U0396,2023-02-13,155.77,Topup
T00353,U0488,2023-01-19,73.94,Transport
T00354,U0038,2023-03-04,92.38,Food
T00355,U0270,2023-08-27,71.48,Topup
T00356,U0374,2023-12-03,9.21,Food
T00357,U0284,2023-04-10,89.66,Food
T00358,U0156,2023-06-12,10.85,Topup
T00359,U0074,2023-05-02,111.57,Topup
T00360,U0371,2023-02-13,30.68,Topup
T00361,U0287,2023-12-26,56.5,Food
T00362,U0129,2023-11-13,34.38,Transport
T00363,U0174,2023-05-25,4.94,Shopping
T00364,U0461,2023-11-23,17.18,Shopping
T00365,U0083,2023-12-29,205.93,Food
T00366,U0021,2023-02-19,161.85,Food
T00367,U0458,2023-03-06,19.32,Transport
T00368,U0026,2023-12-21,279.93,Topup
T00369,U0194,2023-10-15,93.39,Food
T00370,U0336,2023-06-13,47.2,Bills
T00371,U0381,2023-05-21,2.05,Topup
T00372,U0235,2023-11-10,115.86,Food
T00373,U0439,2023-05-08,40.76,Bills
T00374,U0091,2023-08-27,101.43,Transport
T00375,U0476,2023-11-20,89.92,Bills
T00376,U0020,2023-10-23,89.49,Food
T00377,U0302,2023-07-06,59.9,Shopping
T00378,U0463,2023-07-27,17.22,Food
T00379,U0356,2023-08-08,20.49,Shopping
T00380,U0442,2023-07-09,18.44,Transport
T00381,U0083,2023-12-12,1.01,Transport
T00382,U0261,2023-10-11,43.68,Topup
T00383,U0146,2023-12-18,60.0,Topup
T00384,U0440,2023-08-25,96.16,Shopping
T00385,U0452,2023-07-13,7.55,Shopping
T00386,U0386,2023-10-14,39.28,Transport
T00387,U0256,2023-09-16,0.4,Bills
T00388,U0057,2023-09-03,5.0,Shopping
T00389,U0379,2023-05-16,2.79,Shopping
T00390,U0421,2023-10-07,64.64,Bills
T00391,U0014,2023-09-28,4.23,Topup
T00392,U0161,2023-06-20,63.02,Topup
T00393,U0444,2023-06-08,14.36,Shopping
T00394,U0162,2023-07-20,105.07,Topup
T00395,U0319,2023-02-14,83.87,Topup
T00396,U0496,2023-09-21,158.3,Topup
T00397,U0280,2023-03-12,107.61,Transport
T00398,U0279,2023-12-30,135.4,Food
T00399,U0011,2023-04-13,97.86,Shopping
T00400,U0273,2023-05-05,59.11,Shopping
T00401,U0270,2023-11-09,9.33,Transport
T00402,U0491,2023-10-13,15.85,Food
T00403,U0207,2023-08-18,11.96,Food
T00404,U0026,2023-05-26,46.26,Transport
T00405,U0071,2023-07-16,35.02,Bills
T00406,U0059,2023-08-09,100.9,Bills
T00407,U0429,2023-03-01,152.53,Food
T00408,U0472,2023-04-08,25.95,Bills
T00409,U0144,2023-06-20,35.3,Bills
T00410,U0092,2023-06-22,177.92,Bills
T00411,U0308,2023-05-31,16.16,Food
T00412,U0007,2023-12-16,78.6,Bills
T00413,U0078,2023-05-02,12.76,Shopping
T00414,U0026,2023-04-18,57.2,Food
T00415,U0173,2023-01-04,14.63,Transport
T00416,U0049,2023-04-03,107.59,Bills
T00417,U0499,2023-01-06,41.22,Topup
T00418,U0198,2023-10-15,10.29,Food
T00419,U0386,2023-04-16,12.7,Transport
T00420,U0348,2023-05-26,34.05,Shopping
T00421,U0447,2023-09-28,162.99,Transport
T00422,U0427,2023-04-06,73.41,Bills
T00423,U0180,2023-08-17,33.5,Topup
T00424,U0023,2023-07-21,20.6,Bills
T00425,U0315,2023-07-31,39.84,Transport
T00426,U0377,2023-01-06,68.99,Food
T00427,U0386,2023-04-22,76.61,Topup
T00428,U0403,2023-11-19,19.62,Topup
T00429,U0045,2023-04-16,63.86,Transport
T00430,U0014,2023-05-19,53.62,Bills
T00431,U0152,2023-10-26,159.85,Transport
T00432,U0221,2023-04-06,133.75,Topup
T00433,U0205,2023-12-03,77.88,Transport
T00434,U0454,2023-10-24,64.26,Topup
T00435,U0272,2023-08-02,16.01,Bills
T00436,U0381,2023-10-18,93.53,Food
T00437,U0235,2023-01-22,27.89,Food
T00438,U0339,2023-07-12,15.89,Transport
T00439,U0227,2023-05-30,24.24,Topup
T00440,U0008,2023-09-04,90.37,Food
T00441,U0165,2023-09-24,8.05,Topup
T00442,U0431,2023-09-08,30.45,Bills
T00443,U0443,2023-01-03,33.9,Transport
T00444,U0318,2023-11-12,1.87,Topup
T00445,U0213,2023-03-17,10.89,Transport
T00446,U0116,2023-03-28,87.65,Topup
T00447,U0385,2023-09-27,88.82,Topup
T00448,U0343,2023-08-13,17.29,Bills
T00449,U0071,2023-01-18,103.93,Transport
T00450,U0394,2023-04-23,73.87,Shopping
T00451,U0063,2023-09-08,27.06,Topup
T00452,U0204,2023-08-21,69.0,Topup
T00453,U0208,2023-11-25,162.64,Food
T00454,U0071,2023-10-06,30.71,Transport
T00455,U0276,2023-07-21,13.62,Shopping
T00456,U0273,2023-03-24,142.21,Bills
T00457,U0477,2023-05-05,46.28,Shopping
T00458,U0319,2023-06-24,5.56,Bills
T00459,U0337,2023-03-10,42.51,Shopping
T00460,U0365,2023-02-16,34.72,Shopping
T00461,U0494,2023-09-13,96.75,Transport
T00462,U0094,2023-08-03,37.83,Food
T00463,U0165,2023-01-30,14.73,Shopping
T00464,U0031,2023-10-08,56.3,Topup
T00465,U0010,2023-08-25,39.11,Topup
T00466,U0300,2023-09-05,13.27,Topup
T00467,U0216,2023-01-25,42.62,Food
T00468,U0288,2023-03-15,86.17,Shopping
T00469,U0101,2023-07-25,1.45,Bills
T00470,U0424,2023-11-10,49.83,Bills
T00471,U0391,2023-04-04,21.51,Transport
T00472,U0266,2023-05-07,17.31,Food
T00473,U0213,2023-01-25,24.93,Shopping
T00474,U0178,2023-11-30,20.93,Topup
T00475,U0087,2023-12-21,89.26,Food
T00476,U0040,2023-04-26,16.07,Food
T00477,U0400,2023-02-17,66.05,Shopping
T00478,U0075,2023-08-14,4.94,Transport
T00479,U0376,2023-09-23,151.2,Transport
T00480,U0045,2023-04-09,48.68,Transport
T00481,U0159,2023-01-11,61.33,Topup
T00482,U0462,2023-03-26,17.69,Topup
T00483,U0079,2023-08-02,26.56,Shopping
T00484,U0309,2023-06-22,12.67,Transport
T00485,U0085,2023-07-28,134.81,Shopping
T00486,U0091,2023-03-05,33.48,Transport
T00487,U0147,2023-09-15,49.77,Food
T00488,U0160,2023-11-28,66.26,Bills
T00489,U0201,2023-05-01,23.19,Bills
T00490,U0423,2023-10-25,63.67,Transport
T00491,U0415,2023-02-23,56.35,Shopping
T00492,U0241,2023-11-27,61.15,Topup
T00493,U0352,2023-09-29,33.59,Transport
T00494,U0001,2023-08-29,24.14,Transport
T00495,U0224,2023-08-31,12.56,Topup
T00496,U0288,2023-01-18,87.04,Transport
T00497,U0232,2023-07-06,46.87,Food
T00498,U0460,2023-12-12,29.38,Topup
T00499,U0413,2023-05-24,144.12,Food
T00500,U0416,2023-09-19,2.45,Bills
T00501,U0076,2023-12-30,94.91,Topup
T00502,U0115,2023-08-27,301.25,Topup
T00503,U0153,2023-10-31,108.99,Shopping
T00504,U0405,2023-10-25,83.15,Shopping
T00505,U0102,2023-03-17,23.44,Topup
T00506,U0193,2023-07-07,13.15,Bills
T00507,U0165,2023-11-29,66.37,Transport
T00508,U0358,2023-09-03,18.16,Shopping
T00509,U0089,2023-05-10,9.68,Bills
T00510,U0173,2023-11-11,77.21,Bills
T00511,U0121,2023-10-10,18.74,Shopping
T00512,U0497,2023-03-20,122.93,Transport
T00513,U0142,2023-03-13,91.83,Shopping
T00514,U0481,2023-09-20,94.08,Bills
T00515,U0105,2023-07-10,73.83,Food
T00516,U0374,2023-03-04,106.38,Shopping
T00517,U0427,2023-01-12,81.93,Bills
T00518,U0304,2023-05-21,46.13,Shopping
T00519,U0359,2023-09-11,17.54,Bills
T00520,U0458,2023-02-12,109.56,Transport
T00521,U0316,2023-01-17,91.82,Bills
T00522,U0450,2023-03-04,32.02,Topup
T00523,U0122,2023-09-10,1.99,Food
T00524,U0389,2023-10-19,50.88,Bills
T00525,U0008,2023-01-08,2.6,Shopping
T00526,U0261,2023-11-21,130.37,Shopping
T00527,U0072,2023-03-31,163.03,Bills
T00528,U0358,2023-07-27,10.5,Topup
T00529,U0222,2023-10-19,56.41,Bills
T00530,U0415,2023-10-11,4.84,Transport
T00531,U0040,2023-04-28,65.38,Topup
T00532,U0369,2023-12-15,21.33,Bills
T00533,U0203,2023-06-24,57.14,Food
T00534,U0263,2023-03-17,23.33,Topup
T00535,U0327,2023-04-11,7.87,Bills
T00536,U0177,2023-05-31,26.05,Food
T00537,U0347,2023-09-27,5.98,Bills
T00538,U0317,2023-03-12,43.01,Transport
T00539,U0083,2023-06-29,2.09,Shopping
T00540,U0317,2023-05-04,37.47,Bills
T00541,U0110,2023-10-20,108.74,Topup
T00542,U0250,2023-10-12,90.97,Bills
T00543,U0382,2023-07-14,107.19,Bills
T00544,U0006,2023-08-16,127.58,Bills
T00545,U0458,2023-10-02,5.52,Bills
T00546,U0083,2023-04-16,6.89,Topup
T00547,U0207,2023-01-21,40.71,Topup
T00548,U0387,2023-03-05,112.2,Bills
T00549,U0389,2023-06-14,183.16,Shopping
T00550,U0313,2023-01-27,2.37,Bills
T00551,U0021,2023-11-07,21.99,Topup
T00552,U0409,2023-10-12,11.97,Transport
T00553,U0382,2023-05-28,70.52,Bills
T00554,U0002,2023-10-08,51.11,Bills
T00555,U0126,2023-11-22,6.39,Bills
T00556,U0296,2023-11-15,33.04,Bills
T00557,U0187,2023-06-13,57.83,Food
T00558,U0361,2023-08-12,75.48,Bills
T00559,U0013,2023-09-29,1.01,Topup
T00560,U0458,2023-05-26,110.58,Topup
T00561,U0465,2023-12-22,42.12,Food
T00562,U0011,2023-01-30,83.54,Bills
T00563,U0086,2023-02-14,82.5,Shopping
T00564,U0011,2023-10-02,10.53,Bills
T00565,U0396,2023-02-03,5.84,Topup
T00566,U0024,2023-05-21,63.88,Transport
T00567,U0300,2023-11-14,8.51,Transport
T00568,U0242,2023-08-09,94.84,Shopping
T00569,U0121,2023-12-22,64.77,Bills
T00570,U0146,2023-01-22,92.2,Food
T00571,U0054,2023-06-29,17.76,Bills
T00572,U0237,2023-11-25,19.03,Shopping
T00573,U0355,2023-08-19,55.62,Shopping
T00574,U0172,2023-02-07,1.6,Shopping
T00575,U0391,2023-03-11,64.82,Transport
T00576,U0220,2023-04-26,90.33,Bills
T00577,U0118,2023-08-27,26.82,Bills
T00578,U0308,2023-12-01,72.38,Food
T00579,U0182,2023-05-28,9.6,Shopping
T00580,U0287,2023-01-09,19.45,Shopping
T00581,U0306,2023-10-15,183.07,Topup
T00582,U0299,2023-02-19,214.62,Topup
T00583,U0081,2023-12-04,35.93,Transport
T00584,U0453,2023-01-05,136.11,Bills
T00585,U0401,2023-12-09,36.98,Food
T00586,U0210,2023-05-06,17.24,Food
T00587,U0149,2023-03-16,15.52,Shopping
T00588,U0036,2023-06-14,132.61,Food
T00589,U0351,2023-10-05,9.46,Shopping
T00590,U0311,2023-11-20,43.33,Bills
T00591,U0360,2023-10-27,40.54,Food
T00592,U0058,2023-10-17,67.28,Shopping
T00593,U0130,2023-03-18,34.58,Bills
T00594,U0411,2023-10-25,15.89,Bills
T00595,U0201,2023-05-17,9.28,Shopping
T00596,U0242,2023-04-16,48.49,Shopping
T00597,U0034,2023-04-05,63.47,Transport
T00598,U0444,2023-05-15,42.14,Bills
T00599,U0092,2023-03-09,67.04,Shopping
T00600,U0437,2023-05-27,7.63,Bills
T00601,U0446,2023-06-08,107.05,Food
T00602,U0206,2023-06-12,43.66,Topup
T00603,U0352,2023-12-07,6.78,Topup
T00604,U0390,2023-07-08,30.99,Shopping
T00605,U0331,2023-12-05,93.15,Shopping
T00606,U0304,2023-04-05,113.92,Bills
